source,target
1905,9807
1905,35824
1905,29370
1905,9994
1905,4072
1905,2094
1905,13352
1905,20124
1905,80726
1905,40176
10750,16845
10750,20472
10750,93841
10750,1035389
10750,2585
10750,107602
10750,2104799
10750,174982
10750,72208
10750,3284
10750,2027758
10750,100194
2284427,2284423
2284427,2284424
11510,132857
11510,1624486
11510,13922
11510,188238
18793,239271
18793,1248
110001,110023
110001,109804
110001,22645
110001,110066
110001,110067
110001,39624
110001,95486
110001,1116912
138986,237405
138986,21986
138986,1430
138986,82270
138986,583808
138986,40174
85564,76689
85564,1120207
85564,982
85564,1338524
85564,86800
85564,1192274
85564,91351
85564,11370
3149,16757
3149,3150
3149,3151
3149,12266
3149,2565
3149,2240369
3149,82280
3149,3380
3149,10606
3149,3361
109897,143406
6352,3392
6352,116488
6352,70177
6352,10367
13301,57778
13301,2192580
13301,15193
13301,1549008
13301,10468
13301,10400
13301,1884
13301,121668
13301,1176324
140567,167662
140567,1564846
140567,121508
140567,45799
140567,71075
20156,51718
20156,19178
20156,18298
20156,8873
20156,214904
4347,99662
4347,82170
4347,83463
4347,4070
4347,40167
4347,3245527
4347,56752
4347,16303
4299,89784
4299,22092
37934,102792
37934,2021205
37934,1911675
15310,73956
15310,1237
15310,3212196
15310,2406668
15310,2406671
45042,98628
27011,2
8851,1539026
8851,15899
8851,59154
8851,4996
543105,1847408
543105,935594
543105,240728
543105,2753
543105,7632
543105,100318
87919,1245474
87919,569165
87496,1616996
87496,1606415
87496,96321
87496,1182097
87496,90634
2550161,1959397
2550161,2358340
94759,7175
94759,1271
94759,1569458
94759,1771829
94759,115089
94759,1134299
94759,2114503
94759,1828492
94759,2542031
94759,141317
94759,28134
94759,119407
94759,2051927
5723,17193
5723,400
5723,3125
5723,2973752
5723,18461
5723,1216139
5723,57389
73931,1418493
73931,167424
73931,20627
73931,106926
73931,1200426
863,47879
863,104895
863,59846
707,7171
707,10557
707,5621
707,5620
9274,20362
9274,922
9274,8656
9274,1981
9274,40393
9274,127428
9274,11066
9274,109701
9274,68527
19803,2021915
19803,2021916
19803,16974
19803,120557
19803,1797484
19803,1240538
35,24
35,28
35,32
21399,1242148
21399,10182
21399,31839
2888,3014197
2888,3319518
2888,553311
2888,5953
1607523,40036
1607523,1005852
67773,80625
67773,90802
67773,18366
67773,148609
67773,995427
519,232083
519,232084
519,1216659
519,75343
519,7180
519,157444
519,1146
32749,2471878
32749,1432440
6804,52
6804,2289
6804,7848
65529,56441
65529,1502658
65529,1076491
4027,104044
1223867,1223881
225863,1217614
225863,1393199
225863,946462
225863,2420220
225863,2420219
225863,1245726
225863,1292298
16896,1213001
16896,12311
16896,41406
16896,101908
16896,13565
16896,4786
16896,18588
16896,2463363
16896,62410
16896,62047
16896,62048
3026,146307
3026,7166
3026,16376
3026,16377
4959,4958
4959,4765
4959,5676
4959,5682
4959,24658
4959,3784
4959,148251
4959,20564
4959,27442
4959,39274
4959,5821
4959,4670
4959,12259
4959,12341
4959,120640
4959,1073982
4959,15135
4959,6014
326,73022
326,41274
142858,116771
142858,160252
39015,3636
39015,4135
39015,8606
18972,93663
18972,27773
155890,7491
155890,50997
155890,2359096
155890,2713
155890,57286
155890,6905
287,1283
287,4491
287,14405
287,14406
192,504
192,4029
192,73030
192,204962
192,103939
12052,927783
12052,7395
12052,7396
12052,81130
12052,81131
12052,81132
26009,78141
26009,184816
33,6949
33,65019
33,28010
2144,1590759
141,10814
2505,1030512
54693,54811
19492,82104
19492,1951
19492,204997
6944,91332
6944,78805
6944,21369
6944,14386
6944,84932
6944,93527
76184,55477
76184,113697
34721,1474965
34721,17741
34721,5729
83908,1046829
83908,1131203
8499,13268
8499,14572
8499,1937
8499,10412
8857,13295
8857,5823
8857,5563
8857,7503
56890,2264
56890,2265
56890,27554
56890,15735
56890,9205
56890,21596
56890,8658
46393,74036
46393,1230
46393,17087
46393,3198
46393,53595
21818,70759
12967,12645
25834,155173
25834,5589
25834,2879
25834,5938
25834,13022
25834,65409
118764,233585
118764,21542
1189209,44549
1189209,1174227
1189209,105937
1189209,74329
1204293,2288250
1204293,2110741
20959,68750
20959,36811
57829,2178
57829,1302082
57829,1379123
57829,57835
65013,3274157
4808,1214261
4808,1877583
4808,151436
4808,564046
4808,164116
67315,1091984
67315,1137413
67315,107943
67315,2978411
67315,1205
67315,1547461
67315,1797610
67315,1797611
4687,4250
4687,57755
518,95101
518,77870
518,568652
518,14837
518,1293280
518,2685926
518,105040
10409,76546
10409,13637
10409,15900
10409,7668
10409,15152
10409,42157
1262612,934844
1487,1184302
1487,60642
1487,22868
1487,1718049
1487,1417614
1487,28767
1487,1559401
1487,18626
1487,2392906
7487,1182652
7487,1182651
7487,1289529
7487,1220629
7487,13604
7487,1205155
7487,24937
7487,41236
7487,10215
7487,116341
7487,112940
7487,1027457
7487,84527
7487,57446
7487,215486
7487,1161962
7487,71252
7487,108126
7487,107210
1428,1429
1428,13312
1428,2778
1428,53396
1428,212208
1428,1025375
1428,46392
1428,1229795
1428,19995
1428,2914305
1428,22860
1428,7172
1428,1172565
2282,213255
2282,1750020
2282,24393
2282,234757
2282,2201
2282,3409095
2282,3409100
24045,120608
24045,1596910
3899,55784
3899,13280
15831,196825
15831,89819
15831,1254526
15831,96340
15831,34735
15831,19545
15831,30695
15831,29859
15831,1754138
15831,96339
15831,61983
15831,200
15831,19546
15831,3905
15831,88622
15831,132354
15831,19508
15831,16422
15831,81847
15831,98169
15831,1692742
15831,106102
15831,15827
15831,15829
15831,198
15831,1381843
15831,75331
15831,2003611
15831,1221180
15831,7077
15831,109969
15831,179896
15831,78076
15831,42335
15831,43125
15831,201598
15831,4756
15831,16940
15831,69597
15831,12659
15831,78798
15831,67778
27319,112158
27319,9894
27319,36490
27319,32822
27319,44644
13309,929825
13309,20019
13309,964843
2157,569
2157,2692
2157,116100
2157,1140098
2157,12826
2157,52775
2157,1216096
2157,8930
880,20503
880,564
880,14538
880,7779
19498,127712
19498,3035
19498,527313
31,572541
31,1457107
31,4784
31,100183
31,13745
3197,37822
3197,2076
3197,1963475
3197,1066609
3197,1885331
10297,1245
10297,1218174
10297,3124
2171,980245
2171,133075
15864,3201
15864,59373
19453,58293
19453,5605
19453,1736
19453,11149
19453,60650
19453,830
19453,157015
10767,52267
10767,6587
10767,11859
10767,9221
10767,21368
10767,21806
10767,11390
1366083,1472749
1366083,1818410
1366083,1248383
20508,80863
20508,129050
2222,5372
2222,10558
2222,4038
2222,152699
9805,44826
9805,534
57905,12312
57905,74289
57905,2327155
57905,1053265
57905,2029660
18589,123524
2638,103681
2638,4113
2638,1556652
2638,1950476
2638,162668
2091,91711
2091,14501
2091,10978
2091,10168
71538,437100
71538,33260
71538,81663
553222,240800
553222,1717250
12898,55638
12898,65717
491,1221217
491,2603308
491,3026067
491,65464
491,488
491,1828524
3,1185286
3,58208
3,12989
3,825
3,1166
3,15197
3,6
738,2352
738,2353
738,3155
738,1309383
132305,2525109
132305,133944
132305,147897
132305,1204758
132305,1554192
132305,235147
5026,19049
4,26860
3799,45481
3799,56551
130,5825
130,47468
130,189434
130,1164
130,3999
130,4000
33185,92876
7090,11076
7090,52951
7090,51990
7090,865
35219,77019
35219,190315
35219,5727
35219,1215086
35219,34478
2106,1935
2106,50571
2106,67630
2106,17485
2106,545528
2106,67228
2106,19968
2106,101879
2106,5462
2106,78077
2106,1373687
2106,1373688
2106,150111
2106,150118
2106,34759
2106,15098
2106,83131
2106,35322
2106,1616668
2106,12824
2106,1653447
146136,2139376
628,547985
628,142449
608,2637813
608,2660599
608,1414
608,1417
608,636
608,78338
608,3168614
110675,1393037
227,49735
227,95136
227,224
227,110
6818,37478
6818,2188082
6818,2188083
6818,1200390
6818,1200391
6818,1200392
10249,1117823
10249,1117824
1061561,3063
1061561,96861
1061561,18023
1061561,8998
32887,33488
32887,37041
